,TITLE,ORCHESTRA,SINGER,STYLE,DATE,COMPOSER,AUTHOR,SOLOIST,DIRECTOR
5468,Ave de paso,Francisco CANARO,Roberto Maida,TANGO,1938-04-26,Charlo,Enrique Cadícamo,,
5469,25 de mayo,Francisco CANARO,Roberto Maida,TANGO,1938-05-09,?,?,,
5470,Champagne tango,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-05-09,Manuel Aróztegui,Pascual Contursi,,
5471,El Pollo Ricardo,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-05-09,Luis Alberto Fernandez,,,
5472,España cañi,Francisco CANARO,,PASODOBLE,1938-05-09,?,?,,
5473,Aura que no ve la vieja,Francisco CANARO,Roberto Maida,RANCHERA,1938-05-23,?,?,,
5474,Fiebre,Francisco CANARO,,TANGO,1938-05-23,Humberto Canaro,,,
5475,La canción del camino,Francisco CANARO,Roberto Maida,MARCHA,1938-05-23,Francisco Lomuto,Manuel Romero,,
5476,La milonga de mis tiempos,Francisco CANARO,,MILONGA,1938-05-23,Luis Riccardi,,,
5477,Muchachita del campo,Francisco CANARO,Roberto Maida,TANGO,1938-05-23,Francisco Lomuto,Manuel Romero,,
5478,Por tu querer,Francisco CANARO,,TANGO,1938-05-23,Roberto Girard,,,
5479,Adios muchachos,Francisco CANARO,Roberto Maida,TANGO,1938-06-20,Julio César Sanders,César Vedani,,
5480,Alma en pena,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-06-20,Anselmo Aieta,Francisco García Jiménez,,
5481,Loca,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-06-20,Manuel Jovés,Antonio Viergol,,
5482,Mate amargo (2),Francisco CANARO,,TANGO,1938-06-20,Prudencio Aragón,,,
5483,Milonga brava,Francisco CANARO,Roberto Maida,MILONGA,1938-06-20,?,?,,
5484,Milongón,Francisco CANARO,,MILONGA,1938-06-20,Francisco Canaro,Homero Manzi,,
5485,Pedile permiso,Francisco CANARO,Roberto Maida,POLCA HUMORISTICA,1938-06-20,?,?,,
5486,Yo tambien fui pibe,Francisco CANARO,Roberto Maida,TANGO,1938-06-20,?,?,,
5487,Tu bondad,Francisco CANARO,Roberto Maida,TANGO,1938-06-22,Mario Canaro,Celedonio Flores,,
5488,El alacrán,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-07-14,Francisco Canaro,,,
5489,El Garrón,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-07-14,Celestino Ferrer,Celestino Ferrer,,
5490,La maleva,Francisco CANARO,,TANGO,1938-07-14,Antonio Buglione,Mario Pardo,,
5491,Pecado mortal,Francisco CANARO,,TANGO,1938-07-14,Ada Falcón,Ada Falcón,,
5492,Reliquias porteñas,Francisco CANARO,,MILONGA,1938-07-14,Graciano De Leone,Celedonio Flores,,
5493,Frío,Francisco CANARO,Roberto Maida,TANGO,1938-07-26,Joaquín Mora,José María Contursi,,
5494,La cancion del gitano,Francisco CANARO,,PASODOBLE,1938-07-26,?,?,,
5495,Ti-pi-tin,Francisco CANARO,Roberto Maida,VALS,1938-07-26,María Grever,María Grever,,
5496,Salu salu,Francisco CANARO,Francisco Amor,RANCHERA,1938-08-02,?,?,,
5497,Desaliento,Francisco CANARO,Roberto Maida,TANGO,1938-08-22,Armando Baliotti,Luis Castiñeira,,
5498,Dolor gitano,Francisco CANARO,Roberto Maida,PASODOBLE,1938-08-22,?,?,,
5499,Nada más,Francisco CANARO,Roberto Maida,TANGO,1938-08-22,Juan D'Arienzo,Luis Rubistein,,
5500,Romántica,Francisco CANARO,Roberto Maida,VALS,1938-08-22,Félix Lipesker,Homero Manzi,,
5501,Tu ya no soplas,Francisco CANARO,Roberto Maida,PASODOBLE,1938-08-22,?,?,,
5502,Ciertos amores,Francisco CANARO,,TANGO,1938-10-07,Rafael Canaro,,,
5503,Desprecio,Francisco CANARO,Roberto Maida,TANGO,1938-10-07,Ricardo Tanturi,Francisco García Jiménez,,
5504,El triunfo de tus ojos,Francisco CANARO,Roberto Maida,VALS,1938-10-07,Juan Canaro,Juan Canaro,,
5505,Mi Buenos Aires,Francisco CANARO,,MILONGA,1938-10-07,Francisco Rofrano,,,
5506,No me jures,Francisco CANARO,Roberto Maida,VALS,1938-10-07,?,?,,
5507,Vieja amiga,Francisco CANARO,,TANGO,1938-10-07,Pedro Laurenz,José María Contursi,,
5508,Callecita de mi novia,Francisco CANARO,Roberto Maida,TANGO,1938-11-18,Francisco Lomuto,Antonio Botta,,
5509,Madreselva,Francisco CANARO,Roberto Maida,TANGO,1938-11-18,Francisco Canaro,Luis César Amadori,,
5510,Olvidame,Francisco CANARO,Roberto Maida,TANGO,1938-11-18,Ary Barroso,Horacio Sanguinetti,,
5511,Quebranto,Francisco CANARO,Roberto Maida,TANGO,1938-11-18,?,?,,
5512,Sangre del suburbio,Francisco CANARO,Roberto Maida,TANGO,1938-11-19,?,?,,
5513,Nubes de humo,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-11-25,Manuel Jovés,Manuel Romero,,
5514,Que cosa mas linda,Francisco CANARO,Roberto Maida,RANCHERA,1938-11-25,?,?,,
5515,Sufra,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-11-25,?,?,,
5516,Yo seré como tu quieras,Francisco CANARO,Roberto Maida,TANGO,1938-11-25,Héctor Lomuto,Héctor Lomuto,,
5517,Dime qie si,Francisco CANARO,Francisco Amor,VALS,1938-11-29,?,?,,
5518,Farolito,Francisco CANARO,Francisco Amor,VALS,1938-11-29,Agustín Lara Aguirre,María Teresa Lara,,
5519,Callejon andaluz,Francisco CANARO,,PASODOBLE,1938-12-03,?,?,,
5520,La puestera,Francisco CANARO,,RANCHERA,1938-12-03,?,?,,
5521,Suplicio,Francisco CANARO,Roberto Maida,TANGO,1938-12-03,Carlos Viván,Francisco Bohigas,,
5522,Très jolie,Francisco CANARO,,VALS,1938-12-03,Émile Charles Waldteufel,,,
5523,Al son del acordeon,Francisco CANARO,Francisco Amor,RANCHERA,1938-12-13,?,?,,
5524,El 16,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-12-13,Alberico Spátola,,,
5525,La viruta,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1938-12-13,Vicente Greco,,,
5526,Mano a mano,Francisco CANARO,Roberto Maida,TANGO,1938-12-13,Carlos Gardel y José Razzano,Celedonio Flores,,
5527,A la huacachina,Francisco CANARO,Francisco Amor,PASODOBLE,1939-02-27,Francisco Pérez Anampa,Carlos Saco Herrera,,
5528,Dónde andará,Francisco CANARO,Ernesto Famá,TANGO,1939-02-27,Juan Canaro,Carlos Pesce,,
5529,El brocal,Francisco CANARO,Francisco Amor,ESTILO,1939-02-27,?,?,,
5530,Mala suerte,Francisco CANARO,Ernesto Famá,TANGO,1939-02-27,Francisco Lomuto,Francisco Gorrindo,,
5531,Mulita,Francisco CANARO,Francisco Amor,CANCION,1939-02-27,?,?,,
5532,Por vos yo me rompo todo,Francisco CANARO,Ernesto Famá,TANGO,1939-02-27,?,?,,
5533,Noche de estrellas,Francisco CANARO,Ernesto Famá,VALS,1939-03-28,José Luis Padula,Enrique Cadícamo,,
5534,Qué importa,Francisco CANARO,Ernesto Famá,TANGO,1939-03-28,Ricardo Tanturi,Juan Carlos Thorry,,
5535,Tormenta,Francisco CANARO,Ernesto Famá,TANGO,1939-03-28,Enrique Santos Discépolo,Enrique Santos Discépolo,,
5536,Tra la la,Francisco CANARO,Ernesto Famá,VALS,1939-03-28,Luis Teisseire y Germán Teisseire,Jesús Fernández Blanco,,
5537,Vanidad,Francisco CANARO,Ernesto Famá,TANGO,1939-03-28,Gerardo Matos Rodríguez,Washington Montreal,,
5538,Duelo criollo,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-03-30,Juan Rezzano,Lito Bayardo,,
5539,El flete,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-03-30,Vicente Greco,Pascual Contursi,,
5540,La zandunga,Francisco CANARO,Francisco Amor,CANCION VALS,1939-03-30,Guillermo Posadas,Guillermo Posadas,,
5541,Lo pasao paso,Francisco CANARO,Ernesto Famá,TANGO,1939-03-30,Miguel Bucino,Miguel Bucino,,
5542,Mate cocido,Francisco CANARO,Francisco Amor,RANCHERA,1939-03-30,?,?,,
5543,Y no puede ser,Francisco CANARO,Ernesto Famá,TANGO,1939-03-30,Aníbal Troilo,José María Contursi,,
5544,De mi flor,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-04-13,Roberto Firpo,,,
5545,El paraguero,Francisco CANARO,Ernesto Famá,RANCHERA,1939-04-13,?,?,,
5546,España y Argentina,Francisco CANARO,Ernesto Famá,PASODOBLE,1939-04-13,?,?,,
5547,Lo que está bien está bien,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-04-13,?,?,,
5548,Quiero verte una vez mas,Francisco CANARO,,TANGO,1939-04-13,Mario Canaro,José María Contursi,,
5549,Atardecer,Francisco CANARO,,TANGO,1939-05-04,Luis Teisseire y Germán Teisseire,Jesús Fernández Blanco,,
5550,Mariana,Francisco CANARO,Ernesto Famá,PASODOBLE,1939-05-04,Héctor Lomuto,Héctor Lomuto,,
5551,Más allá,Francisco CANARO,Ernesto Famá,TANGO,1939-05-04,Joaquín Mora,José María Contursi,,
5552,Se fue la moza,Francisco CANARO,Francisco Amor,RANCHERA,1939-05-04,?,?,,
5553,Te quiero todavía,Francisco CANARO,Ernesto Famá,TANGO,1939-05-04,José Ranieri Virdo,Mario César Gomila,,
5554,Los indios,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-05-08,Francisco Canaro,,,
5555,Matasano,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-05-08,Francisco Canaro,Pascual Contursi,,
5556,Ojos verdes (2),Francisco CANARO,Francisco Amor,VALS,1939-05-08,Humberto Canaro,Alfredo Defilpo,,
5557,Al subir al bajar,Francisco CANARO,Ernesto Famá,TANGO,1939-05-19,?,?,,
5558,Milongueando,Francisco CANARO,Ernesto Famá,MILONGA,1939-05-19,Francisco Pracánico,Carlos Pesce,,
5559,Nostalgia gris,Francisco CANARO,Ernesto Famá,VALS,1939-05-19,Alberto Tavarozzi,Yaraví,,
5560,Triunfar,Francisco CANARO,Ernesto Famá,MARCHA,1939-05-19,?,?,,
5561,El irresistible,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-05-22,Lorenzo Logatti,,,
5562,El sol del 25,Francisco CANARO,Francisco Amor,GATO PATRIOTICO,1939-05-22,?,?,,
5563,La choyana,Francisco CANARO,Francisco Amor,CHACARERA,1939-05-22,?,?,,
5564,La rezongona,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-05-22,Francisco Lomuto,,,
5565,Abandonada,Francisco CANARO,Ernesto Famá,TANGO,1939-09-11,Francisco Canaro,Manuel Romero,,
5566,Mosterio,Francisco CANARO,Ernesto Famá,TANGO,1939-09-11,Alberto Gambino,Fortunato Benzaquen,,
5567,Patria hermana,Francisco CANARO,Ernesto Famá y Francisco Amor,MARCHA,1939-09-11,?,?,,
5568,Qué es lo que tiene la bahiana,Francisco CANARO,Ernesto Famá,TANGO,1939-09-11,Dorival Caymmi,Dorival Caymmi,,
5569,Salud dinero y amor,Francisco CANARO,Francisco Amor,VALS,1939-09-11,Rodolfo Sciammarella,Rodolfo Sciammarella,,
5570,Amor imposible,Francisco CANARO,Francisco Amor,VALS,1939-09-14,Carlos Bolia,José Trujillo,,
5571,Cuartito azul,Francisco CANARO,Francisco Amor,TANGO,1939-09-14,Mariano Mores,Mario Battistella,,
5572,El ciruja,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-09-14,Ernesto de la Cruz,Alfredo Marino,,
5573,Gloria,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-09-14,Humberto Canaro,Armando Tagini,,
5574,Olimpia,Francisco CANARO,,TANGO,1939-09-14,Carlos Bolia,Carlos Bolia,,
5575,Olimpia,Francisco CANARO,Ernesto Famá,TANGO,1939-09-14,Carlos Bolia,Carlos Bolia,,
5576,El rey del bosque,Francisco CANARO,,TANGO,1939-10-09,Francisco Canaro,,,
5577,La milonga de Buenos Aires,Francisco CANARO,Ernesto Famá,MILONGA,1939-10-09,Francisco Canaro,Ivo Pelay,,
5578,La polca del casamiento,Francisco CANARO,,POLCA,1939-10-09,?,?,,
5579,Porque sí (2),Francisco CANARO,Ernesto Famá,VALS,1939-10-09,Francisco Canaro,Ivo Pelay,,
5580,Todo te nombra,Francisco CANARO,Ernesto Famá,TANGO,1939-10-09,Francisco Canaro,Ivo Pelay,,
5581,Yo nací para querer,Francisco CANARO,Ernesto Famá,TANGO,1939-10-09,Francisco Canaro,Francisco Canaro,,
5582,Donde esta el novio,Francisco CANARO,Ernesto Famá,RANCHERA,1939-10-13,?,?,,
5583,Esta es mi patria,Francisco CANARO,Francisco Amor,GATO ESTILIZADO,1939-10-13,?,?,,
5584,Las promesas en amor,Francisco CANARO,Francisco Amor,RANCHERA,1939-10-13,?,?,,
5585,Los parias,Francisco CANARO,Francisco Amor,MARCHA,1939-10-13,?,?,,
5586,Sublevacion,Francisco CANARO,Francisco Amor,ESTILO,1939-10-13,?,?,,
5587,El vino triste,Francisco CANARO,Ernesto Famá,TANGO,1939-10-25,Juan D'Arienzo,Manuel Romero,,
5588,No me pregunten por qué,Francisco CANARO,Ernesto Famá,TANGO,1939-10-25,Carlos Di Sarli,Reynaldo Pignataro,,
5589,Tango amigo,Francisco CANARO,Ernesto Famá,TANGO,1939-10-25,Francisco Lomuto,Manuel Romero,,
5590,Algún día te diré (Un giorno ti dirò),Francisco CANARO,Ernesto Famá,TANGO,1939-11-23,Gorni Kramer,Artemia Victoria Lavelli,,
5591,No hay tierra como la mia,Francisco CANARO,Ernesto Famá,MILONGA,1939-11-23,Charlo,Enrique Cadícamo,,
5592,Querubin,Francisco CANARO,Ernesto Famá,POLCA,1939-11-23,?,?,,
5593,Sinfonía de arrabal,Francisco CANARO,Ernesto Famá,TANGO,1939-11-23,Maruja Pacheco Huergo,Maruja Pacheco Huergo,,
5594,Cuando llora la milonga,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-11-29,Juan de Dios Filiberto,María Luisa Carnelli,,
5595,El vals del estudiante,Francisco CANARO,Ernesto Famá,VALS,1939-11-29,José Canet,Felipe Mitre Navas,,
5596,Joaquina,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1939-11-29,Juan Bergamino,,,
5597,Los granaderos de San Martin,Francisco CANARO,Ernesto Famá,RANCHERA,1939-11-29,Héctor Lomuto,Héctor Lomuto,,
5598,A quién le puede importar,Francisco CANARO,Ernesto Famá,TANGO,1940-01-26,Mariano Mores,Enrique Cadícamo,,
5599,Compadrón,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1940-01-26,Luis Visca,Enrique Cadícamo,,
5600,Muchachita porteña,Francisco CANARO,Francisco Amor,VALS,1940-01-26,Mariano Mores,Alberto Vacarezza,,
5601,Quejas de bandoneón,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1940-01-26,Juan de Dios Filiberto,,,
5602,Cuando estaba enamorado,Francisco CANARO,Francisco Amor,VALS,1940-03-14,Rodolfo Sciammarella,Rodolfo Sciammarella,,
5603,Dejalo correr,Francisco CANARO,Francisco Amor,CORRIDO,1940-03-14,?,?,,
5604,Esta noche,Francisco CANARO,Ernesto Famá,TANGO,1940-03-14,Carlos Marcucci,Lito Bayardo,,
5605,Mi serenata,Francisco CANARO,Francisco Amor,TANGO,1940-03-14,Edgardo Donato,Juan Carlos Thorry,,
5606,La milonga retobaba,Francisco CANARO,,MILONGA,1940-04-02,?,?,,
5607,Pimienta,Francisco CANARO,,TANGO,1940-04-02,Osvaldo Fresedo,,,
5608,Tango milonguero,Francisco CANARO,,TANGO,1940-04-02,Federico Scorticati,,,
5609,Tengo mil novias,Francisco CANARO,Francisco Amor,VALS,1940-04-02,Enrique Rodríguez,Enrique Cadícamo,,
5610,A mano limpia,Francisco CANARO,,TANGO,1940-04-16,?,?,,
5611,El corazón me engañó,Francisco CANARO,Ernesto Famá,TANGO,1940-04-16,Miguel Bucino,Miguel Bucino,,
5612,Milonga clásica,Francisco CANARO,,MILONGA,1940-04-18,Luis Riccardi,,,
5613,Milonga de mi flor,Quinteto DON PANCHO (Francisco Canaro),,MILONGA,1940-04-18,Feliciano Brunelli,Carlos Bahr,,
5614,Nobleza de arrabal,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1940-04-18,Francisco Canaro,Homero Manzi,,
5615,Sentimiento gaucho,Francisco CANARO,,TANGO,1940-04-18,Francisco Canaro y Rafael Canaro,Juan Andrés Caruso,,
5616,Doña Mercedes,Francisco CANARO,,POLCA,1940-05-09,?,?,,
5617,El día que te fuiste,Francisco CANARO,Francisco Amor,VALS,1940-05-09,Héctor Lomuto,Héctor Lomuto,,
5618,Estrellita mía,Francisco CANARO,Ernesto Famá,VALS,1940-05-09,Alberto Soifer,Roberto Ratto,,
5619,Martirio,Francisco CANARO,Ernesto Famá,TANGO,1940-05-09,Enrique Santos Discépolo,Enrique Santos Discépolo,,
5620,El rodeo,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1940-05-10,Agustín Bardi,,,
5621,Estampa de varón,Quinteto DON PANCHO (Francisco Canaro),,MILONGA,1940-05-10,Mariano Mores,Américo Surdé,,
5622,La melodía del corazón,Francisco CANARO,Francisco Amor,TANGO,1940-05-10,Fioravanti Di Cicco y Héctor Artola,Carmelo Santiago,,
5623,La vida se va,Francisco CANARO,Francisco Amor,VALS,1940-05-10,Sebastián Lombardo,Francisco Amor,,
5624,Después de quererla tanto,Francisco CANARO,Ernesto Famá,MILONGA,1940-05-16,Carmelo Di Napoli,Enrique Dizeo,,
5625,Melodía oriental,Francisco CANARO,Francisco Amor,TANGO,1940-05-16,Juan Carlos Howard y Roberto Zerrillo,Enrique Cadícamo,,
5626,Quereme un poquito,Quinteto DON PANCHO (Francisco Canaro),,RANCHERA,1940-05-16,Mario Rafaelli,Pedro Fernández Sagardi,,
5627,Soy la milonga del centro,Quinteto DON PANCHO (Francisco Canaro),,MILONGA,1940-05-16,?,?,,
5628,Bandoneón de mis amores,Francisco CANARO,,TANGO,1940-05-20,Federico Scorticati,,,
5629,Llanto,Francisco CANARO,Ernesto Famá,TANGO,1940-05-20,Pedro Maffia,Homero Manzi,,
5630,Radioamor,Francisco CANARO,Ernesto Famá,PASODOBLE,1940-05-20,?,?,,
5631,Esta va para los novios,Quinteto DON PANCHO (Francisco Canaro),,RANCHERA,1940-05-22,?,?,,
5632,Olga,Quinteto DON PANCHO (Francisco Canaro),,VALS,1940-05-22,Francisco Peña,Francisco Peña,,
5633,Pájaro ciego,Francisco CANARO,Ernesto Famá y Francisco Amor,TANGO,1940-05-22,Antonio Bonavena,Lito Bayardo,,
5634,Pan nuestro,Quinteto DON PANCHO (Francisco Canaro),,TANGO,1940-05-22,Juan Noli,,,
5635,Clavel sevillano,Francisco CANARO,,PASODOBLE,1940-05-23,?,?,,
5636,Desde el alma,Francisco CANARO,,VALS,1940-05-23,Rosita Melo,Homero Manzi y Víctor Piuma Vélez,,
5637,Yo también quiero cantar,Quinteto DON PANCHO (Francisco Canaro),,MILONGA,1940-05-23,?,?,,
5638,Chirusa,Francisco CANARO,Ernesto Famá,TANGO,1940-09-30,Juan D'Arienzo,Nolo López,,
5639,Como dos extraños,Francisco CANARO,Ernesto Famá,TANGO,1940-09-30,Pedro Laurenz,José María Contursi,,
5640,Deja el mundo como está,Francisco CANARO,Ernesto Famá,TANGO,1940-09-30,Rodolfo Biagi,Rodolfo Sciammarella,,
5641,En un beso la vida,Francisco CANARO,Ernesto Famá,TANGO,1940-09-30,Carlos Di Sarli,Héctor Marcó,,
5642,No me pidas la exclusiva,Francisco CANARO,Ernesto Famá,TANGO,1940-09-30,Julio De Caro,Enrique Cadícamo,,
5643,Por quererte,Francisco CANARO,Ernesto Famá,TANGO,1940-09-30,Federico Scorticati,Celedonio Flores,,
5644,El cuarto esta por llegar,Francisco CANARO,Ernesto Famá,TANGO,1940-10-03,José Pécora,Alfredo Gallipoli,,
5645,Parque Patricios,Francisco CANARO,Ernesto Famá,MILONGA,1940-10-03,Francisco Laino y Antonio Radicci,Francisco Laino y Antonio Radicci,,
5646,Por ti solo canto,Francisco CANARO,Ernesto Famá,PASODOBLE,1940-10-03,?,?,,
5647,La cuarentona,Francisco CANARO,Ernesto Famá,RANCHERA,1940-10-14,?,?,,
5648,La sonámbula,Quinteto PIRINCHO (Francisco Canaro),,TANGO,1940-10-14,Pascual Cardaropoli,,,
5649,Morocha triste,Francisco CANARO,Francisco Amor,VALS,1940-10-14,Enrique Maciel,Horacio Sanguinetti,,
5650,Queca,Quinteto PIRINCHO (Francisco Canaro),,TANGO,1940-10-14,?,?,,
5651,Un amor,Francisco CANARO,Francisco Amor,TANGO,1940-10-14,Alfredo Malerba y Mario Maurano,Luis Rubistein,,
5652,Canaro en Paris,Quinteto PIRINCHO (Francisco Canaro),,TANGO,1940-10-28,Juan Caldarella y Alejandro Scarpino,José Scarpino,,
5653,Tan solo tu,Francisco CANARO,Mirna Mores,TANGO,1940-10-28,Mariano Mores,Marvil,,
5654,Tormenta en el alma,Francisco CANARO,Ernesto Famá y Mirna Mores,VALS,1940-10-28,?,?,,
5655,El criticon,Francisco CANARO,Francisco Amor,POLCA,1940-11-04,?,?,,
5656,Federico a casa,Francisco CANARO,Francisco Amor,POLCA,1940-11-04,?,?,,
5657,Te quiero (3),Francisco CANARO,Francisco Amor,PASODOBLE,1940-11-04,?,?,,
5658,Noche primaveral,Francisco CANARO,Francisco Amor,VALS,1940-11-05,Bernardino Terés,Bernardino Terés,,
5659,A una mujer,Quinteto PIRINCHO (Francisco Canaro),,VALS,1940-11-22,Horacio Salgán,Carmelo Volpe,,
5660,La milonga optimista,Quinteto PIRINCHO (Francisco Canaro),,MILONGA,1940-11-22,?,?,,
5661,Mano brava (2),Quinteto PIRINCHO (Francisco Canaro),,TANGO,1940-11-22,Francisco Canaro y Juan Canaro,,,
5662,Tiempo perdido,Francisco CANARO,,TANGO,1941-01-08,?,?,,
5663,Amor amor veni,Francisco CANARO,Francisco Amor,VALS,1941-01-09,Mariano Ramiro Ochoa Induráin,Mariano Ramiro Ochoa Induráin,,
5664,En la noche azul,Francisco CANARO,Francisco Amor,VALS,1941-01-09,?,?,,
5665,Falsa ilusion,Francisco CANARO,Ernesto Famá,TANGO,1941-01-09,?,?,,
5666,La requebrada,Francisco CANARO,,MILONGA,1941-01-09,?,?,,
5667,Lo que el viento se llevó,Francisco CANARO,Francisco Amor,TANGO,1941-01-09,Roberto Luratti,Arturo Basso,,
5668,Mira que nena,Francisco CANARO,Francisco Amor,POLCA,1941-01-09,?,?,,
5669,Pamentos del bandoneon,Francisco CANARO,Ernesto Famá,TANGO,1941-01-09,?,?,,
5670,Charlemos,Francisco CANARO,Ernesto Famá,TANGO,1941-01-15,Luis Rubistein,Luis Rubistein,,
5671,Pajarillo pajarillo,Francisco CANARO,Francisco Amor,CORRIDO,1941-01-15,?,?,,
5672,Tanguano (Que te dure che Cipriano),Francisco CANARO,Ernesto Famá,NUEVO RITMO,1941-01-15,?,?,,
5673,El pregón,Francisco CANARO,Ernesto Famá,TANGO,1941-02-28,Cátulo Castillo,José González Castillo,,
5674,La bandera de mi patria,Francisco CANARO,Francisco Amor,MARCHA,1941-02-28,?,?,,
5675,Maldicion gitana,Francisco CANARO,Ernesto Famá y Francisco Amor y Blakie,POLCA,1941-02-28,?,?,,
5676,Reliquias porteñas (2),Francisco CANARO,,POTPOURRI DE TANGOS,1941-02-28,Francisco Canaro,,,
5677,Veinte años,Francisco CANARO,Ernesto Famá,TANGO,1941-02-28,?,?,,
5678,Bajo el cielo azul,Francisco CANARO,Francisco Amor,VALS,1941-05-09,Francisco Canaro,Ivo Pelay,,
5679,Cuatro palabras,Francisco CANARO,Ernesto Famá,VALS,1941-05-09,Miguel Bucino,Miguel Bucino,,
5680,En esta tarde gris,Francisco CANARO,Francisco Amor,TANGO,1941-05-09,Mariano Mores,José María Contursi,,
5681,El recuerdo de los tangos,Francisco CANARO,Ernesto Famá,TANGO,1941-05-15,Francisco Canaro,Francisco Canaro,,
5682,El tigre,Francisco CANARO,,TANGO,1941-05-15,Francisco Canaro,,,
5683,El otario,Quinteto PIRINCHO (Francisco Canaro),,TANGO MILONGA,1941-05-21,Gerardo Metallo,Juan Velich,,
5684,La Galarcita,Quinteto PIRINCHO (Francisco Canaro),,TANGO,1941-05-21,Mauricio Guariglia,Antonio Polito,,
5685,Echale sal,Francisco CANARO,,TANGO,1941-05-30,Miguel Caló y Víctor Braña,,,
5686,Mintieron tus labios,Francisco CANARO,Ernesto Famá,TANGO,1941-05-30,?,?,,
5687,Por donde andara,Francisco CANARO,Ernesto Famá,TANGO,1941-05-30,Salvador Merico,Atilio Supparo,,
5688,Vamos corazon,Francisco CANARO,Ernesto Famá,TANGO,1941-05-30,Juan José Guichandut y Fidel Pintos,Carlos Bahr,,
5689,Yo te lo arreglo todo,Francisco CANARO,Ernesto Famá,CORRIDO,1941-05-30,?,?,,
5690,A mi madre,Quinteto PIRINCHO (Francisco Canaro),,VALS,1941-06-06,Francisco Peña,Francisco Peña,,
5691,Acariciando recuerdos,Francisco CANARO,Francisco Amor,VALS,1941-06-06,?,?,,
5692,El porteñito,Quinteto PIRINCHO (Francisco Canaro),,TANGO,1941-06-06,Ángel Villoldo,Ángel Villoldo,,
5693,Tres recuerdos,Francisco CANARO,Francisco Amor,VALS,1941-06-06,Rodolfo Sciammarella,Manuel Romero,,
5694,Alma porteña,Francisco CANARO,Ernesto Famá,MILONGA,1941-06-13,Antonio Polito,Francisco Laino,,
5695,Entre rejas invisibles,Francisco CANARO,Ernesto Famá,TANGO,1941-06-13,Alberto Cima,Onofre Mir,,
5696,A mí no me hablen de penas,Francisco CANARO,Francisco Amor,TANGO,1941-06-19,Enrique Cadícamo,Enrique Cadícamo,,
5697,Copa de ajenjo,Francisco CANARO,Francisco Amor,TANGO,1941-06-19,Juan Canaro,Carlos Pesce,,
5698,Bardi,Quinteto PIRINCHO (Francisco Canaro),,TANGO,1941-07-01,?,?,,
5699,El silbido,Francisco CANARO,Francisco Amor,TANGO,1941-07-01,?,?,,
5700,La cosquillosa,Quinteto PIRINCHO (Francisco Canaro),,PASODOBLE,1941-07-01,?,?,,
5701,Ya lo sabes (No te cases),Francisco CANARO,Francisco Amor,VALS,1941-07-01,?,?,,
5702,Apasionadamente,Francisco CANARO,Ernesto Famá,VALS,1941-10-06,Francisco Canaro,Ivo Pelay,,
5703,El cuarteador,Francisco CANARO,Francisco Amor,TANGO,1941-10-06,Enrique Cadícamo,Enrique Cadícamo,,
5704,La rompedora,Francisco CANARO,,MILONGA,1941-10-06,Pintín Castellanos,,,
5705,Toda mi vida,Francisco CANARO,Ernesto Famá,TANGO,1941-10-06,Aníbal Troilo,José María Contursi,,
5706,Anoche soñé,Francisco CANARO,Eduardo Adrian,VALS,1941-10-22,José Bohr,José Bohr,,
5707,El llorón,Francisco CANARO,Ernesto Famá,TANGO MILONGA,1941-10-22,Juan Maglio,Enrique Cadícamo,,
5708,Mañana juega,Francisco CANARO,Ernesto Famá,TANGO,1941-10-22,José Pérez Roselli,Alberto Vacarezza,,
5709,Papirusa (2),Francisco CANARO,Ernesto Famá,TANGO,1941-10-22,Arturo De Bassi,Arturo De Bassi,,
5710,Infamia,Francisco CANARO,Eduardo Adrian,TANGO,1941-10-29,Enrique Santos Discepolo,Enrique Santos Discepolo,,
5711,La vida en mil gramos,Francisco CANARO,Carlos Roldan y Blakie,VALS,1941-10-29,?,?,,
