,Title,Orchestra,Singer,Record Date,Genre,Duration,Label,Disc type,Disc No.
367,El apronte,Juan D'Arienzo y su Orquesta Típica,Instrumental,1937-04-01,Tango,02:45,RCA Victor,Shellac,38138
368,Pasión,Juan D'Arienzo y su Orquesta Típica,Instrumental,1937-07-02,Vals,02:40,RCA Victor,Shellac,38221
369,El cachafaz,Juan D'Arienzo y su Orquesta Típica,Instrumental,1937-06-02,Tango,02:41,RCA Victor,Shellac,38187
370,Jueves,Juan D'Arienzo y su Orquesta Típica,Instrumental,1937-10-29,Tango,02:33,RCA Victor,Shellac,38305
371,Valsecito criollo,Juan D'Arienzo y su Orquesta Típica,Instrumental,1937-07-26,Vals,02:17,RCA Victor,Shellac,38242
372,Pensalo bien,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1938-06-22,Tango,02:24,RCA Victor,Shellac,38495
373,El cisne,Juan D'Arienzo y su Orquesta Típica,Instrumental,1938-05-06,Tango,02:27,RCA Victor,Shellac,38468
374,El triunfo,Juan D'Arienzo y su Orquesta Típica,Instrumental,1938-03-23,Tango,03:11,RCA Victor,Shellac,38412
375,Rodríguez Peña,Juan D'Arienzo y su Orquesta Típica,Instrumental,1938-01-07,Tango,02:59,RCA Victor,Shellac,38368
376,Nada más,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1938-07-08,Tango,02:51,RCA Victor,Shellac,38506
377,Dos guitas,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1939-03-03,Tango,02:24,RCA Victor,Shellac,38676
378,Maipo,Juan D'Arienzo y su Orquesta Típica,Instrumental,1939-04-18,Tango,02:50,RCA Victor,Shellac,38702
379,Yunta brava,Juan D'Arienzo y su Orquesta Típica,Instrumental,1939-01-04,Tango,02:23,RCA Victor,Shellac,38659
380,El pollito,Juan D'Arienzo y su Orquesta Típica,Instrumental,1938-12-28,Tango,02:54,RCA Victor,Shellac,38640
381,Lunes,Juan D'Arienzo y su Orquesta Típica,Instrumental,1938-09-30,Tango,02:24,RCA Victor,Shellac,38569
382,Milonga querida,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1938-11-09,Milonga,02:34,RCA Victor,Shellac,38608
383,Estampa de varón,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1938-08-05,Milonga tangueada,02:06,RCA Victor,Shellac,38536
384,La bruja,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1938-08-26,Tango,02:19,RCA Victor,Shellac,38544
385,Cabeza de novia,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1938-11-03,Vals,02:11,RCA Victor,Shellac,38601
386,No me lo digas,Juan D'Arienzo y su Orquesta Típica,Instrumental,1939-04-18,Tango,02:21,RCA Victor,Shellac,38702
387,Pampa,Juan D'Arienzo y su Orquesta Típica,Instrumental,1939-10-31,Tango,02:19,RCA Victor,Shellac,38865
388,Don Pacífico,Juan D'Arienzo y su Orquesta Típica,Instrumental,1939-09-27,Tango,02:30,RCA Victor,Shellac,38841
389,Recuerdos de la pampa,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1939-05-04,Vals criollo,02:12,RCA Victor,Shellac,38715
390,Milonga del recuerdo,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1939-07-17,Milonga,02:15,RCA Victor,Shellac,38767
391,El vino triste,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1939-09-01,Tango,02:31,RCA Victor,Shellac,38803
392,Mandria,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1939-08-09,Tango,02:23,RCA Victor,Shellac,38785
394,Muchachos comienza la ronda,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1943-08-06,Tango,02:40,RCA Victor,Shellac,60-0134
395,Vieja esquina,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1943-08-06,Tango,03:11,RCA Victor,Shellac,60-0214
396,Palomita mía,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1943-08-19,Tango,02:57,RCA Victor,Shellac,60-0190
397,Qué bien te queda / Cómo has cambiado,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1943-10-05,Tango,02:55,RCA Victor,Shellac,60-0233
398,Oigo tu voz,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1943-11-17,Tango,03:08,RCA Victor,Shellac,60-0316
399,Que nunca me falte,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1943-11-17,Tango,02:46,RCA Victor,Shellac,60-0258
400,Sollozo de bandoneón,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1943-12-16,Tango,02:38,RCA Victor,Shellac,60-0361
401,Rey del tango,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-01-21,Tango,03:06,RCA Victor,Shellac,60-0332
402,Recién,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-03-24,Tango,02:45,RCA Victor,Shellac,60-0392
403,Desde lejos,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-04-27,Tango,03:08,RCA Victor,Shellac,60-0423
404,Jirón de suburbio,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-04-27,Tango,02:36,RCA Victor,Shellac,60-0472
405,Añoranzas,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-05-19,Vals,02:50,RCA Victor,Shellac,60-0453
406,Sombrerito,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-07-27,Tango,02:41,RCA Victor,Shellac,60-0507
407,Encuentro,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-09-29,Tango,02:24,RCA Victor,Shellac,60-0550
408,Igual que un bandoneón,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1944-12-13,Tango,02:58,RCA Victor,Shellac,60-0595
409,Esta noche al pasar,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-01-22,Tango,02:27,,Shellac,60-0623
410,Me besó y se fue,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-02-19,Vals,02:36,Victor,Shellac,60-0638
411,Igual que una sombra,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-04-12,Tango,02:41,Victor,Shellac,60-0666
412,Discos de Gardel,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-05-03,Tango,02:39,Victor,Shellac,60-0682
413,El sueño del pibe,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-06-14,Tango,02:54,Victor,Shellac,60-0705
414,Cantor de barrio,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-07-13,Tango,02:29,Victor,Shellac,60-0732
415,Cuatro lágrimas,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-10-23,Tango,02:52,Victor,Shellac,60-0799
416,Ivón,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-09-05,Tango,02:34,Victor,Shellac,60-0775
417,Calor de hogar,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1945-11-09,Tango,02:43,Victor,Shellac,60-0813
418,Soy muchacho de arrabal,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1946-01-03,Tango,02:29,Victor,Shellac,60-0855
419,Esta noche hay una fiesta,Ricardo Tanturi y su Orquesta Típica,Enrique Campos,1946-03-13,Tango,02:27,Victor,Shellac,60-0901
420,De corte criollo,Ángel D'Agostino y su Orquesta Típica,Instrumental,1945-05-21,Tango,03:14,RCA Victor,Shellac,60-0692
421,Gil a rayas,Ángel D'Agostino y su Orquesta Típica,Instrumental,1942-08-11,Tango,02:58,RCA Victor,Shellac,39688
422,Racing club,Ángel D'Agostino y su Orquesta Típica,Instrumental,1946-03-29,Tango,02:35,RCA Victor,Shellac,60-0911
423,Todos te quieren,Ángel D'Agostino y su Orquesta Típica,Instrumental,1944-07-19,Milonga,02:35,RCA Victor,Shellac,60-0493
425,Al compás de un tango,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-03-18,Tango,02:36,RCA Victor,Shellac,39553
426,Así se baila el tango,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-12-04,Tango,02:37,RCA Victor,Shellac,68-0459
