,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
6092,Soy del noventa,Tango,1943,Tito Ribero,Carlos Waiss,Tango,Raúl Berón,Orquesta,Lucio Demare,6-5-1943 Buenos Aires Odeon 8065 12758,03:12,6174
6093,Soy del noventa,Tango,1943,Tito Ribero,Carlos Waiss,Tango,Carlos Acuña,Orquesta,Rodolfo Biagi,8-7-1943 Buenos Aires Odeon 5640 12912,,
6094,Soy el cantor de la orquesta,Tango,,Alfredo Gobbi,Osvaldo Bruzzi,Tango,Jorge Durán,Orquesta,Carlos Di Sarli,23-4-1945 Buenos Aires RCA-Victor 60-0672 80614,,
6095,Soy feo pero vistoso,Milonga,,Miguel Caló,Juan José Correia,Milonga,Carlos Barbé,Orquesta,Miguel Caló,26-1-1953 Buenos Aires Odeon 55599 18795,,
6096,Soy luz de tango nuevo,Tango,2010,Saúl Cosentino,José Arenas,Tango,Josefina Rozenwasser,Conjunto dir:,Néstor Díaz,2011 Huella Producciones 20962,03:38,7096
6097,Soy melodioso,Tango,,"Miguel Caló, Orlando Trípodi",,Tango,Instrumental,Orquesta,Miguel Caló,1972 Buenos Aires Embassy 70001,,
6098,Soy milonguero,Tango,1939,Miguel Caló,Mario César Gomila,Tango,Carlos Dante,Orquesta,Miguel Caló,14-3-1936 Buenos Aires Odeon 8357 8481,,
6099,Soy milonguero,Tango,1939,Miguel Caló,Mario César Gomila,Tango,Raúl Berón,Orquesta,Miguel Caló,23-4-1963 Buenos Aires Odeon LDI-545 28921,,
6100,Soy muchacho de arrabal,Tango,,Enrique Campos,Roberto Lambertucci,Tango,Enrique Campos,Orquesta,Ricardo Tanturi,3-1-1946 Buenos Aires RCA-Victor 60-0855 80959,,
6101,Soy muchacho de la guardia,Tango,1942,Agustín Irusta,Héctor Marcó,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,15-6-1942 Buenos Aires RCA-Victor 39637 69756,,
