,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
1684,De todo te olvidas (Cabeza de novia),Tango,1929,Salvador Merico,Enrique Cadícamo,Tango,Osvaldo Ribó,Orquesta,Ricardo Tanturi,15-11-1946 Buenos Aires RCA-Victor 60-1123 82477,,
1685,De todo te olvidas (Cabeza de novia),Tango,1929,Salvador Merico,Enrique Cadícamo,Tango,José Torres,Orquesta,Alberto Mancione,1964 Buenos Aires Toma radial,,
1686,De tu casa a mi casa,Aire de bailecito,,Sebastián Piana,Homero Manzi,Aire de bailecito,Mariano Balcarce,Orquesta,Pedro Maffia,1934 Buenos Aires RCA-Victor 37627-B,,
1687,De vuelta,Vals,,Carlos Lazzari,Carlos Bahr,Vals,Alberto Podestá,Orquesta,Carlos Di Sarli,26-9-1947 Buenos Aires RCA-Victor 60-1451 83671,,
1688,De vuelta,Vals,,Carlos Lazzari,Carlos Bahr,Vals,Oscar Serpa,Orquesta,Carlos Di Sarli,1952 Buenos Aires Music Hall 1022-A BA 1041,,
1689,De vuelta [b],Tango,2001,Moisés Grinstein,Sara Melul,Tango,Patricia Martínez,Orquesta,Leonardo Marconi,,03:19,7554
1690,De vuelta al bulín,Tango,1917,José Martínez,Pascual Contursi,Tango,Ángel Vargas,Orquesta Ángel Vargas dir:,Armando Lacava,5-7-1951 Buenos Aires RCA-Victor 63-0116 94285,,
1691,De vuelta al bulín,Tango,1917,José Martínez,Pascual Contursi,Tango,Alberto Morán,Orquesta,Osvaldo Pugliese,22-5-1951 Buenos Aires Odeon 55243 18025,,
1692,De vuelta al bulín,Tango,1917,José Martínez,Pascual Contursi,Tango,Carlos Gardel,Guitarra de,José Ricardo,1919 Buenos Aires Odeon 18020-B 170,02:18,3352
1693,De vuelta al bulín,Tango,1917,José Martínez,Pascual Contursi,Tango,Raúl Berón,Orquesta,Aníbal Troilo,1951 Buenos Aires T.K. S 5053 111,,
1694,De vuelta al pago,Ranchera,,Adolfo Avilés,Adolfo Avilés,Ranchera,Luis Díaz,Orquesta,Pedro Maffia,1930 Buenos Aires Brunswick 1419-B,,
1695,Debajo los sauces (Los sauces del Uruguay),Ranchera,,Gerardo Matos Rodríguez,Víctor Soliño,Ranchera,Alberto Gómez Augusto Vila,,,1-4-1931 Buenos Aires RCA-Victor,03:02,3328
1696,Decencia,Tango,1968,Javier Mazzea,Manuel Bargiela,Tango,Jorge Maciel,Orquesta,Osvaldo Pugliese,1967 Buenos Aires Philips 82194 01.1968,,
1697,Decile a tu vieja,Tango,,José Pécora,,Tango,Instrumental,Orquesta,Edgardo Donato,1929 Buenos Aires Brünswick 1037 917,02:48,7655
1698,Decile que vuelva,Tango,,Miguel Bucino,Miguel Bucino,Tango,Alberto Castillo,Orquesta,Ricardo Tanturi,27-5-1942 Buenos Aires RCA-Victor 39620 69734,,
1699,Decime Dios dónde estás,Tango,1964,Manuel Sucher,Tita Merello,Tango,Carlos Aguirre,Orquesta,Alfredo De Angelis,25-11-1964 Buenos Aires Odeon 2130-B 30910,,
1700,Decime Dios dónde estás,Tango,1964,Manuel Sucher,Tita Merello,Tango,Tito Reyes,Orquesta,Aníbal Troilo,1-10-1965 Buenos Aires RCA-Victor AVL-3632 5384,,
1701,Decime Dios dónde estás,Tango,1964,Manuel Sucher,Tita Merello,Tango,Jorge Maciel,Orquesta,Osvaldo Pugliese,1963 BUENOS AIRES Philips 82049 1.1965,,
1702,Decime Dios dónde estás,Tango,1964,Manuel Sucher,Tita Merello,Tango,Tita Merello,Orquesta,Carlos Figari,1964 Buenos Aires Odeon LDI-232,,
1703,Decime Dios dónde estás,Tango,1964,Manuel Sucher,Tita Merello,Tango,Alfredo Belusi,Orquesta,José Basso,1964 Buenos Aires Music Hall 12487 30280,,
1704,Decime qué pasó,Tango,1942,"José Nieso, Miguel Nijensohn",José María Suñé,Tango,Roberto Rufino,Orquesta,Carlos Di Sarli,12-8-1942 Buenos Aires RCA-Victor 39701 69866,,
1705,Decime qué pasó,Tango,1942,"José Nieso, Miguel Nijensohn",José María Suñé,Tango,Lily Kahan,Conjunto dir:,José Ogivieki,2009 Buenos Aires GLD GK 28686,03:20,6963
1706,Decís que no te quiero,Tango,,Ricardo Tanturi,Reinaldo Yiso,Tango,Juan Carlos Godoy,Orquesta,Ricardo Tanturi,22-10-1956 Buenos Aires RCA-Victor 68-2475 SO5171,,
1707,Declaración,Ranchera,,Miguel Caló,Armando Tagini,Ranchera,Carlos Dante,Orquesta,Miguel Caló,17-12-1935 Buenos Aires Odeon 8356 8459,,
1708,Dejá el conventillo,Tango,1925,Antonio Scatasso,Francisco Ruiz París,Tango,Carlos Gardel,Guitarras de Barbieri y Ricardo,,1925 Buenos Aires Odeon 18147 3291,02:04,1466
1709,Deja el mundo como está,Tango,,Rodolfo Biagi,Rodolfo Sciammarella,Tango,Andrés Falgás,Orquesta,Rodolfo Biagi,14-3-1940 Buenos Aires Odeon 5610 10344,,
1710,Dejame amarte aunque sea un día,Vals,,Ernestina Lecuona,Venancio Clauso,Vals,Andrés Falgás,Orquesta,Rodolfo Biagi,22-9-1939 Buenos Aires Odeon 5608 10103,,
1711,Dejame así,Tango,,"Víctor Braña, Domingo Triguero",Oscar Rubens,Tango,Floreal Ruiz,Orquesta,Alfredo De Angelis,10-8-1943 Buenos Aires Odeon 3771-A 13019,02:57,1467
1712,Dejame en paz,Tango,,Américo Juan Actis,Oscar Rubens,Tango,Alberto Morán,Orquesta,Osvaldo Pugliese,6-4-1948 Buenos Aires Odeon 7697 16872,,
1713,Déjame hablar,Tango,,Arturo Gallucci,Abel Aznar,Tango,Carlos Barbé,Orquesta,Miguel Caló,26-1-1953 Buenos Aires Odeon 55599 18796,,
1714,Déjame hablar,Tango,,Arturo Gallucci,Abel Aznar,Tango,Mario Pomar,Orquesta,Carlos Di Sarli,1952 Buenos Aires Music Hall 1025-B BA 1048,,
1715,Déjame hablarte,Tango,1974,Edmundo Disdier,Edmundo Disdier,Tango,Carlos Yanel,Orquesta,Osvaldo Montes,1987 Buenos Aires Almalí 30.026,02:35,6378
1716,Déjame no quiero verte más,Tango,,"Francisco Canaro, Mariano Mores",Ivo Pelay,Tango,Alberto Podestá,Orquesta,Carlos Di Sarli,8-5-1947 Buenos Aires RCA-Victor 60-1310 83410,,
1717,Déjame no quiero verte más,Tango,,"Francisco Canaro, Mariano Mores",Ivo Pelay,Tango,Roberto Rufino,Orquesta,Francini-Pontier,2-4-1947 Buenos Aires RCA-Victor 60-1265 83330,,
1718,Déjame no quiero verte más,Tango,,"Francisco Canaro, Mariano Mores",Ivo Pelay,Tango,Roberto Rufino,Orquesta,Porfirio Díaz,1946 Santiago (Chile) RCA-Victor (Chile) 90-0631-A,,
1719,Déjame no quiero verte más,Tango,,"Francisco Canaro, Mariano Mores",Ivo Pelay,Tango,Nelly Omar,Orquesta,Francisco Canaro,28-5-1947 Buenos Aires Odeon 5295 16490,,
1720,Déjame soñar,Tango,1942,Lalo Scalise,Lito Bayardo,Tango,Armando Garrido,Orquesta,Osvaldo Fresedo,31-5-1951 Buenos Aires Columbia (Odeon) 301018 MAI-233,02:58,6261
1721,Dejame vivir mi vida,Tango,,Roberto Giménez,Roberto Rufino,Tango,Ángel Vargas,Orquesta Ángel Vargas dir:,Armando Lacava,25-6-1954 Buenos Aires RCA-Victor 68-1707 SO-2641,,
1722,Dejámelo pensar,Tango,2014,Daniel García,Marta Pizzo,Tango,Vivi Verri,Conjunto,Daniel García,2015 Buenos Aires Verri,03:55,7477
1723,Del bajo fondo,Tango,,"Osvaldo Tarantino, José Tarantino",,Tango,Instrumental,Solo de piano de,Osvaldo Tarantino,1991 Buenos Aires Melopea CDMSE 5061,02:13,6289
1724,Del barrio de las latas,Tango,,Raúl de los Hoyos,Emilio Fresedo,Tango,Instrumental,Cuarteto,Aníbal Troilo,5-8-1968 Buenos Aires RCA-Victor AVL-3871 7999,,
1725,Del barrio de las latas,Tango,,Raúl de los Hoyos,Emilio Fresedo,Tango,Instrumental,,Pedro Maffia,24-11-1926 Buenos Aires Odeon 262,,
1726,Del barrio de las latas,Tango,,Raúl de los Hoyos,Emilio Fresedo,Tango,Mario Pomar,Orquesta,Carlos Di Sarli,1953 Buenos Aires Music Hall 1085B,,
1727,Del barrio de las latas,Tango,,Raúl de los Hoyos,Emilio Fresedo,Tango,Tita Merello,Orquesta,Carlos Figari,1964 Buenos Aires Odeon LDI-232,,
1728,Del Buenos Aires de ayer,Milonga,,Eduardo Del Piano,Eduardo Del Piano,Milonga,Ángel Vargas,Orquesta Ángel Vargas dir:,Eduardo Del Piano,29-3-1949 Buenos Aires RCA-Victor 60-1774 91259,,
1729,Del pasado [b],Milonga,1945,Alfredo Marino,Alfredo Marino,Milonga,Carlos Dante Julio Martel,Orquesta,Alfredo De Angelis,13-11-1945 Buenos Aires Odeon 3790-B 15097,,
1730,Del suburbio,Tango,1952,Oscar Sabino,Víctor Lamanna,Tango,Jorge Casal,Orquesta,Aníbal Troilo,1952 Buenos Aires T.K. S 5133 309,,
1731,Del suburbio,Tango,1952,Oscar Sabino,Víctor Lamanna,Tango,Mercedes Simone,Orquesta,Emilio Brameri,1953 Buenos Aires TK S5221 566/53,03:03,794
1732,Del tiempo de Gardel,Tango,1950,Roberto Pansera,Homero Cárpena,Tango,Armando Garrido,Orquesta,Osvaldo Fresedo,29-11-1950 Buenos Aires Columbia 301009 MAI-125,03:24,7685
1733,Del tiempo de La Morocha,Tango,,"José Canet, Alberto Gómez","José Canet, Alberto Gómez",Tango,Horacio Palma,Orquesta,Juan D'Arienzo,12-9-1962 Buenos Aires RCA-Victor AVL-3537 MAAB-3465,03:48,6239
1734,Del tiempo de La Morocha,Tango,,"José Canet, Alberto Gómez","José Canet, Alberto Gómez",Tango,Nelly Omar,Con guitarras,,4-12-1997 Buenos Aires Magenta 512.510,,
1735,Del tiempo guapo,Milonga,1941,Vicente Fiorentino,Marcelo De La Ferrere,Milonga,Francisco Fiorentino,Orquesta,Aníbal Troilo,21-11-1941 Buenos Aires RCA-Victor 39502 59889,,
1736,Delirio gaucho,Vals,,Alfredo Eusebio Gobbi,Alfredo Eusebio Gobbi,Vals,Carlos Gardel,"Guitarras de Aguilar, Barbieri y Riverol",,25-9-1930 Buenos Aires Odeon 18838 6094,02:54,620
1737,Demasiado tarde,Tango,1941,Francisco Troppoli,Agustín Horacio Delamónica,Tango,Ángel Vargas,Orquesta,Ángel D'Agostino,10-9-1946 Buenos Aires RCA-Victor 60-1044 82335,,
1738,Demasiado tarde,Tango,1941,Francisco Troppoli,Agustín Horacio Delamónica,Tango,Alberto Morán,Orquesta,Osvaldo Pugliese,27-2-1946 Buenos Aires Odeon 7681 15333,,
1739,Derecho al corazón,Milonga,,Donato Racciatti,,Milonga,Nina Miranda Víctor Ruiz,Orquesta,Donato Racciatti,Montevideo Sondor,,
1740,Derecho viejo,Tango,,Eduardo Arolas,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,28-5-1945 Buenos Aires Odeon 7673 14647,02:08,105
1741,Derecho viejo,Tango,,Eduardo Arolas,,Tango,Instrumental,Sexteto,Francisco Pracánico,1927 Buenos Aires Electra 739,02:39,1138
1742,Derecho viejo,Tango,,Eduardo Arolas,,Tango,Instrumental,Orquesta,Alfredo De Angelis,1982 Colombia Discos Fuentes 2054,,
1743,Derecho viejo [Clausi],Tango,,Eduardo Arolas,Gabriel Clausi,Tango,Nelly Omar,Guitarras de,José Canet,1979 Buenos Aires RCA-Victor AVSP-4734,,
1744,Derrotado (Tenés razón),Tango,,Antonio Arcieri,"José Terragno, Antonio Bernárdez",Tango,Roberto Florio,Orquesta,Carlos Di Sarli,27-9-1956 Buenos Aires RCA-Victor 1A-1074 S5144,,
1745,Desagradecida,Vals peruano,,Ángel Cabral,Reinaldo Yiso,Vals peruano,Lalo Martel,Orquesta,Alfredo De Angelis,30-4-1962 Buenos Aires Odeon 52764-A 27710,,
1746,Desagravio,Tango,,Francisco Lomuto,"Homero Manzi, José María Contursi",Tango,Guillermo Rico,Orquesta,Francisco Canaro,22-12-1944 Buenos Aires Odeon 5259 14333,,
1747,Desagravio,Tango,,Francisco Lomuto,"Homero Manzi, José María Contursi",Tango,Alberto Rivera,Orquesta,Francisco Lomuto,13-12-1944 Buenos Aires Victor 60-0596 79978,02:46,665
1748,Desaliento,Tango,1938,Armando Baliotti,Luis Castiñeira,Tango,Osvaldo Chazarreta,Orquesta,Armando Baliotti,4-1-1952 Buenos Aires,02:24,5075
1749,Descarte,Milonga,,Enrique Cadícamo,Enrique Cadícamo,Milonga,Adriana Varela,Conjunto dir:,Néstor Marconi,1995 Buenos Aires Melopea CDMSE 5076 Tango de lengue,,
1750,Desconfianza,Tango,,Edgardo Donato,Manuel Romero,Tango,Alberto Gómez,Orquesta Sello Victor,,2-5-1932 Buenos Aires Victor,02:55,7058
1751,Desconsuelo,Tango,,Héctor Artola,Carlos Bahr,Tango,Juan Carlos Casas,Orquesta,Pedro Laurenz,21-2-1940 Buenos Aires RCA-Victor 38927 39222,,
1752,Descorazonado,Tango,,Oscar Herrero,Marvil,Tango,Alberto Morán,Orquesta,Osvaldo Pugliese,25-10-1949 Buenos Aires Odeon 30607 17467,,
1753,Desde aquel día,Tango,,"José Tinelli, Luis Rossi",,Tango,Instrumental,Orquesta,Pedro Maffia,1930 Buenos Aires Columbia Record 6018-A,,
1754,Desde aquella noche,Tango,,Fulvio Salamanca,Carlos Bahr,Tango,Armando Laborde,Orquesta,Juan D'Arienzo,26-8-1946 Buenos Aires RCA-Victor 60-1029 82303,,
1755,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,Instrumental,Orquesta,Osvaldo Pugliese,27-12-1979 Buenos Aires Odeon 6160 45050,,
1756,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,Instrumental,Orquesta,Osvaldo Pugliese,26-12-1985 Buenos Aires Odeon En el Colón,,
1757,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,Instrumental,Orquesta,Osvaldo Pugliese,26-6-1989 Amsterdam Odeon,,
1758,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,Instrumental,Orquesta,Ricardo Tanturi,28-8-1944 Buenos Aires RCA-Victor 60-0529 79828,,
1759,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,Nelly Omar,Orquesta,Francisco Canaro,22-10-1947 Buenos Aires Odeon 30127 16768,,
1760,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,María de la Fuente,Cuarteto,Orlando Trípodi,1962 Buenos Aires Discofonía,,
1761,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,Nelly Omar,Guitarras de,José Canet,1970 Buenos Aires Embassy,02:38,1284
1762,Desde el alma [Manzi],Vals,1947,Rosita Melo,"Homero Manzi, Víctor Piuma Vélez",Vals,Guillermo Rico,Guitarras,José Canet,1973 Buenos Aires RCA-Victor,,
1763,Desde el alma de Alberdi,Vals,,Miguel Ángel Gutiérrez,Miguel Ángel Gutiérrez,Vals,Nelly Omar,Guitarras de,José Canet,1976 Buenos Aires Embassy,,
1764,Desde entonce! (Como quiere la madre a sus hijos),Vals,,"José Betinotti, Juan Cianciarulo","José Betinotti, Juan Cianciarulo",Vals,Jorge Ledesma,Orquesta,Alberto Mancione,23-4-1952 Buenos Aires RCA-Victor 63-0162-B 94885/1,,
1765,Desde entonce! (Como quiere la madre a sus hijos),Vals,,"José Betinotti, Juan Cianciarulo","José Betinotti, Juan Cianciarulo",Vals,Nelly Omar,Guitarras de,Roberto Grela,28-7-1950 Buenos Aires Odeon,,
1766,Desde entonce! (Como quiere la madre a sus hijos),Vals,,"José Betinotti, Juan Cianciarulo","José Betinotti, Juan Cianciarulo",Vals,Nelly Omar,Orquesta de cuerdas de,José Canet,1979 Buenos Aires Embassy 90.033,,
1767,Desde la cana,Milonga,,Edmundo Rivero,Yacaré,Milonga,Germán Arens,Cuarteto,La Puñalada,2004 Bahía Blanca Particular S/Nº,02:14,3654
1768,Desde lejos,Tango,,José Raúl Iglesias,Juan Bautista Gatti,Tango,Enrique Campos,Orquesta,Ricardo Tanturi,27-4-1944 Buenos Aires RCA-Victor 60-0472 79657,,
1769,Desde piba,Tango,1930,Juan Bautista Guido,Francisco Alemán,Tango,Rosita Quiroga,,,15-5-1930 Buenos Aires RCA-Victor 47418 60270,02:29,6358
1770,Desde que no estás,Tango,,Carlos Viván,,Tango,Instrumental,Orquesta,Pedro Maffia,1929 Buenos Aires Brunswick 1407-B 185,,
1771,Desdén,Tango,1933,Carlos Gardel,Mario Battistella,Tango,Carlos Gardel,"Guitarras de Barbieri, Pettorossi, Riverol y Vivas",,17-6-1933 Buenos Aires Odeon 18888 7469,02:47,1318
1772,Desdén [c],Vals,,Miguel Paz Reaño,Miguel Paz Reaño,Vals,Carolina Winograd,Con guitarras,,2010 Particular,03:34,7039
1773,Desencanto,Tango,1936,Enrique Santos Discépolo,"Luis César Amadori, Enrique Santos Discépolo",Tango,Oscar Alonso,Con guitarras,,13-12-1966 Buenos Aires Odeon,03:15,957
1774,Desencuentro,Tango,1962,Aníbal Troilo,Cátulo Castillo,Tango,Elba Berón,Orquesta,Aníbal Troilo,9-1-1962 Buenos Aires RCA-Victor AVL-3416 3120,,
1775,Desencuentro,Tango,1962,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Rufino,Orquesta,Aníbal Troilo,5-6-1963 Buenos Aires RCA-Victor AVL-3528 3868,,
1776,Desencuentro,Tango,1962,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Goyeneche,Orquesta,Baffa-Berlingieri,22-8-1968 Buenos Aires RCA-Victor,02:15,710
1777,Desencuentro,Tango,1962,Aníbal Troilo,Cátulo Castillo,Tango,Alfredo Belusi,Orquesta,Osvaldo Pugliese,1963 Buenos Aires Philips 82000 7.1963,,
1778,Desencuentro,Tango,1962,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Achával,Orquesta,Osvaldo Piro,1977 Buenos Aires RCA-Victor AVS-4489,,
1779,Desencuentro,Tango,1962,Aníbal Troilo,Cátulo Castillo,Tango,Raúl Lavié,Orquesta,Osvaldo Piro,1997 Buenos Aires Taco CD 2130,,
1780,Desencuentro,Tango,1962,Aníbal Troilo,Cátulo Castillo,Tango,Sonia Godoy,Conjunto dir:,Omar Valente,2006 Buenos Aires Tangodoy 8858,02:20,6972
1781,Desesperación,Tango,,Federico Vallejos,,Tango,Instrumental,Guitarra de,Federico Vallejos,2012 Buenos Aires Independiente-UMI,03:31,7181
1782,Desilusión [b],Tango,,Lito Bayardo,Lito Bayardo,Tango,Alberto Morán,Orquesta,Osvaldo Pugliese,28-4-1947 Buenos Aires Odeon 7691 16422,,
1783,Desorientado,Tango,,Miguel Caló,Marvil,Tango,Oscar Peralta,Orquesta,Edgardo Donato,14-12-1955 Buenos Aires PAMPA 5071 1774,02:46,1468
1784,Desorientado,Tango,,Miguel Caló,Marvil,Tango,Carlos Roldán,Orquesta,Miguel Caló,6-4-1956 Buenos Aires Odeon 51921 20891,,
1785,Desorientado,Tango,,Miguel Caló,Marvil,Tango,Jorge Durán,Orquesta,José Basso,1962 Buenos Aires Music Hall 12239,,
1786,Desorientado,Tango,,Miguel Caló,Marvil,Tango,Eduardo Borda,Orquesta,José Basso,1986 Buenos Aires Tennessee 29.024,,
1787,Despedida de soltero,Milonga,1955,"Alberto Losavio, Rodolfo Serrao, Héctor Serrao","Alberto Losavio, Rodolfo Serrao, Héctor Serrao",Milonga,Olga Lamas,Orquesta del Tiempo del Jopo,,29-6-1955 Buenos Aires RCA-Victor,02:39,7635
1788,Despertar [b],Tango,,Ernesto Franco,Oscar Fresedo,Tango,Gabriel Reynal,Orquesta,Ernesto Franco,1-1-1900 Buenos Aires Forever Music FMCD 9703,02:24,7059
1789,Después,Tango,1944,Hugo Gutiérrez,Homero Manzi,Tango,Alberto Marino,Orquesta,Aníbal Troilo,3-3-1944 Buenos Aires RCA-Victor 60-0371 79533,,
1790,Después,Tango,1944,Hugo Gutiérrez,Homero Manzi,Tango,Raúl Iriarte,Orquesta,Miguel Caló,10-1-1944 Buenos Aires Odeon 8384 13506,,
1791,Después,Tango,1944,Hugo Gutiérrez,Homero Manzi,Tango,Abel Córdoba,Orquesta,Osvaldo Pugliese,1-8-1981 Buenos Aires Odeon 6449 45882,,
1792,Después,Tango,1944,Hugo Gutiérrez,Homero Manzi,Tango,Abel Córdoba,Orquesta,Osvaldo Pugliese,26-12-1985 Buenos Aires Odeon En el Colón,,
1793,Después,Tango,1944,Hugo Gutiérrez,Homero Manzi,Tango,Nelly Omar,Guitarras de,José Canet,1944 Buenos Aires,,
1794,Después,Tango,1944,Hugo Gutiérrez,Homero Manzi,Tango,Libertad Lamarque,Orquesta,Mario Maurano,1944 Buenos Aires RCA-Victor 60-0379,03:12,1504
1795,Después,Tango,1944,Hugo Gutiérrez,Homero Manzi,Tango,Raúl Lavié,,Sexteto Mayor,2012 Villa Mercedes Calle Angosta Discos CD151169,03:16,7186
1796,Después de carnaval,Tango,1941,José Amuchástegui Keen,José Amuchástegui Keen,Tango,Floreal Ruiz,Orquesta,José Basso,28-5-1958 Buenos Aires Odeon 51365 23116,,
1797,Después de carnaval,Tango,1941,José Amuchástegui Keen,José Amuchástegui Keen,Tango,Hugo Marcel,Orquesta,Osvaldo Fresedo,12-1-1959 Buenos Aires CBS-Columbia 8216 1757,03:05,3347
1798,Después de carnaval,Tango,1941,José Amuchástegui Keen,José Amuchástegui Keen,Tango,Eduardo Borda Quique Ojeda,Orquesta,José Basso,1986 Buenos Aires Tennessee 29.024,,
1799,Después de esta canción,Tango,,José Dames,Julio Camilloni,Tango,Julio Sosa,Orquesta,Leopoldo Federico,4-6-1964 Buenos Aires CBS-Columbia 8457 4067,,
1800,Después de la medianoche,Tango,,Mauricio Marcelli,Julio Fontana,Tango,Diego Solís,Quinteto,Mauricio Marcelli,1999 Buenos Aires Melopea CDMPV-1161,03:15,1155
1801,Después de tu beso,Tango,,"Edelmiro D'Amario, Víctor D'Amario",Francisco Yoni,Tango,Osvaldo Arana,Orquesta,Víctor D'Amario,29-5-1984 Buenos Aires Almalí 25.034,02:25,6253
1802,Después del silencio,Tango,,Osvaldo Piro,,Tango,Instrumental,Quinteto,Osvaldo Piro,1986 Paris Attack Y23,,
1803,Después del silencio,Tango,,Osvaldo Piro,,Tango,Instrumental,Ensamble Nueve,Osvaldo Piro,1991 Buenos Aires Melopea DM 071,,
1804,Después si querés hablá,Tango,,"Jorge Falcón, Jorge Sabliov",Jesús José Santini,Tango,Jorge Falcón,Orquesta acomp. dir:,Ernesto Rossi,Buenos Aires CBS-Columbia,03:00,3361
1805,Destellos,Tango,1924,Francisco Canaro,Juan Andrés Caruso,Tango,Ignacio Corsini,,,14-6-1928 Buenos Aires Odeon 18555-B 2762,02:23,1446
1806,Destellos,Tango,1924,Francisco Canaro,Juan Andrés Caruso,Tango,Ángel Vargas,Orquesta,Ángel D'Agostino,29-3-1946 Buenos Aires RCA-Victor 60-0911 82053,,
1807,Destellos,Tango,1924,Francisco Canaro,Juan Andrés Caruso,Tango,Julio Sosa,Orquesta,Leopoldo Federico,22-2-1963 Buenos Aires CBS-Columbia 8379 3356,,
1808,Destellos,Tango,1924,Francisco Canaro,Juan Andrés Caruso,Tango,Enzo Valentino,Orquesta,Roberto Pansera,1968 Buenos Aires Alanicky 6085509,,
1809,Destino de flor,Tango,,Roberto Rufino,Alejandro Romay,Tango,Roberto Florio,Orquesta,Carlos Di Sarli,12-7-1957 Buenos Aires RCA-Victor 1A-1333 T0230,,
1810,Destino de flor,Tango,,Roberto Rufino,Alejandro Romay,Tango,Roberto Rufino,Orquesta,Enrique Francini,3-4-1957 Buenos Aires RCA-Victor 1A-1247,,
1811,Destino de flor,Tango,,Roberto Rufino,Alejandro Romay,Tango,Alfredo Del Río,Orquesta,Francisco Rotundo,6-6-1957 Buenos Aires Odeon 14197 MAI-2093,,
1812,Destino de flor,Tango,,Roberto Rufino,Alejandro Romay,Tango,María Garay,Orquesta,Omar Valente,1981 Buenos Aires Micronda 5033,02:30,3169
1813,Desvelo (De flor en flor),Tango,1938,Eduardo Bonessi,Enrique Cadícamo,Tango,Floreal Ruiz,Orquesta,Aníbal Troilo,28-2-1948 Buenos Aires RCA-Victor 60-1557 83849,,
1814,Desvelo (De flor en flor),Tango,1938,Eduardo Bonessi,Enrique Cadícamo,Tango,Alberto Serna,Orquesta,Antonio Rodio,3-8-1944 Buenos Aires Odeon 7603 13620,,
1815,Desvelo (De flor en flor),Tango,1938,Eduardo Bonessi,Enrique Cadícamo,Tango,Alberto Morán,Orquesta,Osvaldo Pugliese,16-8-1953 Buenos Aires Odeon 55766 19047,,
1816,Desvelo (De flor en flor),Tango,1938,Eduardo Bonessi,Enrique Cadícamo,Tango,José Torres,Orquesta,Alberto Mancione,1964 Buenos Aires Toma radial,,
1817,Desvelo (De flor en flor),Tango,1938,Eduardo Bonessi,Enrique Cadícamo,Tango,Roberto Ayala,Orquesta,Alberto Di Paulo,1997 Buenos Aires Vaivén 425.038,02:51,835
1818,Devolveme lo que es mío,Vals,,Rodolfo Sciammarella,Carlos Petit,Vals,Guillermo Rico Alberto Arenas,Orquesta,Francisco Canaro,16-4-1946 Buenos Aires Odeon 5281 15446,,
1819,Día de la verdad,Vals,,"José Canet, Nelly Omar","José Canet, Nelly Omar",Vals,Nelly Omar,Guitarras de,José Canet,1978 Buenos Aires Embassy,,
1820,Día del tango,Tango,,"Vicente San Lorenzo, Angela Lucia, Mario Bloise","Vicente San Lorenzo, Angela Lucia, Mario Bloise",Tango,Armando Laborde,Orquesta,Juan D'Arienzo,18-11-1965 Buenos Aires RCA-Victor AVL-3634 RAAN-5475,,
1821,Diablito,Tango,,Pedro Maffia,"Ismael Aguilar, Gerónimo Martinelli Massa",Tango,Instrumental,,Pedro Maffia,20-7-1927 Buenos Aires Odeon 6885-A 1048,,
1822,Diablito,Tango,,Pedro Maffia,"Ismael Aguilar, Gerónimo Martinelli Massa",Tango,Instrumental,,Aníbal Troilo,1954 Buenos Aires T.K. SF30005 679,,
1823,Diálogos,Tango,,Santos Maggi,,Tango,Instrumental,Trío,Santos Maggi,Buenos Aires Almalí,03:53,7501
1824,Dibujos,Tango,,José Ranieri,,Tango,Instrumental,Orquesta,Domingo Federico,3-7-1951 Buenos Aires RCA-Victor 63-0015 94277,03:08,795
1825,Dice un refrán,Tango,1942,Ángel D'Agostino,Enrique Cadícamo,Tango,Ángel Vargas,Orquesta,Ángel D'Agostino,22-5-1942 Buenos Aires RCA-Victor 39633 69724,,
1826,Dice una guitarra,Tango,,"Ernesto Baffa, Raúl Garello",Rubén Garello,Tango,Carlos Casado,Orquesta,Osvaldo Piro,1966 Buenos Aires Alanicky 7003,,
1827,Dicen que dicen,Tango,1930,Enrique Delfino,Alberto Ballestero,Tango,Julio Sosa,Orquesta,Francini-Pontier,5-12-1950 Buenos Aires RCA-Victor 60-2075 93982,,
1828,Dicen que dicen,Tango,1930,Enrique Delfino,Alberto Ballestero,Tango,Julio Sosa,Orquesta,Leopoldo Federico,25-7-1961 Buenos Aires CBS-Columbia 8307 2614,,
1829,Dicen que dicen,Tango,1930,Enrique Delfino,Alberto Ballestero,Tango,Roberto Mancini,Orquesta,Alfredo De Angelis,1964 Colombia Discos Fuentes 3001,,
