,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
775,Bien pulenta,Orquesta Francisco Rotundo,Carlos Roldán,1950-12-29,Montevideo,Tango,"Juan D'Arienzo, Héctor Varela",Carlos Waiss,1950,Odeon 55230 17976,
776,Bienvenida,Orquesta Aníbal Troilo,Instrumental,1946-04-10,Buenos Aires,Tango,Vicente Demarco,,,RCA-Victor 60-0920 82072,
778,Blanca nieve [c],Orquesta Alfredo De Angelis,Lalo Martel,1961-08-08,Buenos Aires,Milonga,Gigí De Angelis,José Rótulo,,Odeon 52721-B 26744,
779,Boca Juniors,Orquesta Miguel Caló,Roberto Arrieta,1954-06-23,Buenos Aires,Tango,Rodolfo Sciammarella,Rodolfo Sciammarella,,Odeon 55965 19536,704
781,Boedo,Orquesta Osvaldo Pugliese,Instrumental,1948-07-14,Buenos Aires,Tango,Julio De Caro,Dante A. Linyera,1927,Odeon 7699 16997,
783,Boedo y San Juan,Orquesta Carlos Di Sarli,Roberto Rufino,1943-12-17,Buenos Aires,Tango,Enrique Cadícamo,Enrique Cadícamo,,RCA-Victor 60-0300 77468,
784,Bogotá,Orquesta Alfredo De Angelis,Instrumental,1967-07-18,Buenos Aires,Tango,"Alfredo De Angelis, Antonio Sciacca",,1967,Odeon 260-A 33652,
785,Bohardilla,Orquesta Carlos García,Oscar Alonso,1969-07-03,Buenos Aires,Tango,Rodolfo Blasi,Horacio Sanguinetti,1944,Odeon LBD-1002,
786,Bohardilla,Orquesta Miguel Caló,Raúl Iriarte,1944-04-19,Buenos Aires,Tango,Rodolfo Blasi,Horacio Sanguinetti,1944,Odeon 8387 13708,
787,Bolada de aficionado,Orquesta Juan D'Arienzo,Instrumental,1941-07-29,Buenos Aires,Milonga,Ángel Villoldo,,,RCA-Victor 39380 59676,705
788,Bolero,Orquesta Osvaldo Pugliese,Roberto Chanel,1947-12-16,Buenos Aires,Tango,Santos Lipesker,Reinaldo Yiso,1947,Odeon 7696 16822,
789,Bolero,Orquesta Ricardo Tanturi,Roberto Videla,1948-01-26,Buenos Aires,Tango,Santos Lipesker,Reinaldo Yiso,1947,RCA-Victor 60-1524 83828,
791,Boliche de cinco esquinas,Orquesta Ángel Vargas dir: Armando Lacava,Ángel Vargas,1952-09-16,Buenos Aires,Tango,Leopoldo Díaz Vélez,Leopoldo Díaz Vélez,,RCA-Victor 63-0208 SO-0126,
792,Boliche El Cuco,,Jorge Vidal,1952-04-03,Buenos Aires,Milonga,Manuel Costas,Atilio Supparo,,Pampa MAI-612,781
794,Bonita,Orquesta Alfredo De Angelis,Juan Carlos Godoy,1960-05-16,Buenos Aires,Tango,"Guillermo Vilar, Ángel Vilar",Santiago Adamini,,Odeon 52610-B 25307,
799,Botellero,,Libertad Lamarque,1926-11-08,Buenos Aires,Tango,Antonio Sureda,P. Rivero,,,593
800,Boyera (Tonada del carretero),Guitarras de Roberto Grela,Nelly Omar,1951-08-29,Buenos Aires,Canción,Andrés Domenech,Alberto Vaccarezza,,Odeon,
801,Brazo de oro,Orquesta José Basso,Instrumental,1961-04-18,Buenos Aires,Tango,José Basso,,,Odeon LDS-818 26220,
802,Brazo de oro,Orquesta Miguel Caló,Instrumental,1963-04-19,Buenos Aires,Tango,José Basso,,,Odeon LDI-545 28911,
805,Brindemos compañero,Orquesta José Luis Padula,Ángel Vargas,1935-11-04,Buenos Aires,Tango,José Luis Padula,Enrique Cadícamo,,Odeon,782
806,Brindis de sangre,Orquesta Armando Pontier,Julio Sosa,1957-08-09,Buenos Aires,Tango,Abel Fleury,José Suárez,,Columbia-CBS 8096 1232,1748
813,Buen amigo,Orquesta Aníbal Troilo,Instrumental,1946-07-11,Buenos Aires,Tango,Julio De Caro,Juan Carlos Marambio Catán,,RCA-Victor 60-0984 82207,
814,Buen amigo,Orquesta Osvaldo Pugliese,Instrumental,1958-03-26,Buenos Aires,Tango,Julio De Caro,Juan Carlos Marambio Catán,,Odeon 52327 22929,
815,Buen amigo,,Instrumental,1925-07-03,Buenos Aires,Tango,Julio De Caro,Juan Carlos Marambio Catán,,RCA-Victor 79566 622,
817,Buenas noches Buenos Aires,Orquesta Carlos Di Sarli,Jorge Durán,1958-01-16,Buenos Aires,Tango,Sebastián Piana,Osvaldo Sosa Cordero,1958,RCA-Victor 1A-2078 T0445,
818,Buenas noches Buenos Aires,Orquesta Francisco Canaro,Marcelo Paz,1958-03-17,Buenos Aires,Tango,Sebastián Piana,Osvaldo Sosa Cordero,1958,Odeon 52315 22921,7175
819,Buenos Aires,Orquesta Aníbal Troilo,Tito Reyes,1965-12-30,Buenos Aires,Tango,Manuel Jovés,Manuel Romero,1923,RCA-Victor 3AE-3481 5617,
820,Buenos Aires,Orquesta Aníbal Troilo,Francisco Fiorentino,1942-12-29,Buenos Aires,Tango,Manuel Jovés,Manuel Romero,1923,RCA-Victor 39848 84217,
821,Buenos Aires,Orquesta Carlos Di Sarli,Roberto Florio,1956-04-26,Buenos Aires,Tango,Manuel Jovés,Manuel Romero,1923,RCA-Victor 1A-0834 S4939,1942
824,Buenos Aires de ayer,Orquesta Alfredo De Angelis,"Julio Martel, Néstor Rodi",1943-08-10,Buenos Aires,Milonga,"Alfredo De Angelis, Pascual Bulotta","Ricardo Olcese, Néstor Rodi",,Odeon 3771-B 13020,
834,Buenos Aires-Tokio,Orquesta Aníbal Troilo,Instrumental,1966-04-18,Buenos Aires,Tango,Julián Plaza,,,RCA-Victor AVL-3678 5869,
838,Buey manso,,Carlos Gardel,1930-12-01,Buenos Aires,Tango,Carmelo Mutarelli,Armando Tagini,,Odeon 18844 6449,7292
