,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
1005,Canción de rango (Pa' que se callen),Orquesta Ricardo Tanturi,Alberto Castillo,1942-12-04,Buenos Aires,Tango,Raúl Kaplún,José María Suñé,1942,RCA-Victor 39807 84092,
1006,Canción de rango (Pa' que se callen),Orquesta Rodolfo Biagi,Carlos Acuña,1943-04-29,Buenos Aires,Tango,Raúl Kaplún,José María Suñé,1942,Odeon 5639 12727,
1007,Canción de rango (Pa' que se callen),Orquesta Osvaldo Pugliese,Abel Córdoba,1965,BUENOS AIRES,Tango,Raúl Kaplún,José María Suñé,1942,Philips 82081 10.1965,
1008,Canción del carretero,Guitarra de Juan Villarreal y bandoneón de Marco Antonio Fernández,Juan Villarreal,2013,Buenos Aires,Canción,Carlos López Buchardo,Gustavo Caraballo,,Los Años Luz 1805-2,7266
1009,Canción del inmigrante,Orquesta Alfredo De Angelis,Carlos Dante,1956-04-30,Buenos Aires,Tango,Ricardo Malerba,Enrique Cadícamo,,Odeon 51933-B 20950,
1010,Canción desesperada,Orquesta Aníbal Troilo,Alberto Marino,1945-10-09,Buenos Aires,Tango,Enrique Santos Discépolo,Enrique Santos Discépolo,1945,RCA-Victor 60-0806 80842,571
1011,Canción desesperada,Orquesta Miguel Caló,Raúl Iriarte,1945-12-27,Buenos Aires,Tango,Enrique Santos Discépolo,Enrique Santos Discépolo,1945,Odeon 30009 15228,
1012,Canción desesperada,Orquesta Miguel Caló,Instrumental,1969-05-27,Buenos Aires,Tango,Enrique Santos Discépolo,Enrique Santos Discépolo,1945,Odeon LDB-175 35823,
1013,Canción desesperada,Orquesta Francisco Canaro,Nelly Omar,1946-01-28,Buenos Aires,Tango,Enrique Santos Discépolo,Enrique Santos Discépolo,1945,Odeon 5277 15315,
1014,Canción desesperada,Orquesta Osmar Maderna,Luis Tolosa,1946,Buenos Aires,Tango,Enrique Santos Discépolo,Enrique Santos Discépolo,1945,Inédito S/Nº,
1015,Canción para mi amor,,Nina Miranda,1958,Buenos Aires,Tango,Nina Miranda,Abel Aznar,1956,Odeon,
1016,Canción para tu olvido,Orquesta Jorge Dragone,Celia Saia,2016,Buenos Aires,Tango,Norma Montenegro,Norma Montenegro,,,7552
